Endpoint,Method,Function / Purpose,Required Headers / Auth,API Testing Body (JSON)
"/api/v1/events/:eventId/sessions","POST","Create a new session for an event","Bearer Token (ORGANIZER)","{""name"":""Opening Ceremony"",""schedule"":{""start"":""2026-11-10T09:00:00.000Z"",""end"":""2026-11-10T10:00:00.000Z""},""accessControl"":""NO_RESTRICTION"",""validateAgainstOtherSessions"":false,""inviteeSource"":""NEW_LIST""}"
"/api/v1/events/:eventId/sessions","GET","List all sessions for an event","Bearer Token (ORGANIZER)","{}"
"/api/v1/sessions/:sessionId","GET","Retrieve a single session by ID","Bearer Token (ORGANIZER)","{}"
"/api/v1/sessions/:sessionId","PATCH","Update an existing session","Bearer Token (ORGANIZER)","{""name"":""Updated Ceremony""}"
"/api/v1/sessions/:sessionId","DELETE","Delete/Deactivate a session","Bearer Token (ORGANIZER)","{}"
"/api/v1/events/:eventId/invitees","POST","Add a new invitee to an event","Bearer Token (ORGANIZER)","{""name"":""Jane Doe"",""email"":""jane@example.com"",""mobile"":""+919876543210"",""dietaryPreference"":""Vegetarian""}"
"/api/v1/events/:eventId/invitees","GET","List invitees for an event (with pagination/filters)","Bearer Token (ORGANIZER)","{}"
"/api/v1/invitees/:inviteeId","GET","Retrieve a single invitee by ID","Bearer Token (ORGANIZER)","{}"
"/api/v1/invitees/:inviteeId","PATCH","Update an existing invitee","Bearer Token (ORGANIZER)","{""dietaryPreference"":""Vegan""}"
"/api/v1/invitees/:inviteeId","DELETE","Remove an invitee","Bearer Token (ORGANIZER)","{}"
"/api/v1/events/:eventId/invitees/import","POST","Import invitees from an Excel file","Bearer Token (ORGANIZER)","FormData with 'file' field containing .xlsx"
"/api/v1/invitees/:inviteeId/session-access","PUT","Assign or update individual session access","Bearer Token (ORGANIZER)","{""sessionAccess"":[{""sessionId"":""<session_id>"",""allowed"":true}]}"
"/api/v1/events/:eventId/invitees/session-access/bulk","PUT","Bulk assign session access for multiple invitees","Bearer Token (ORGANIZER)","{""inviteeIds"":[""<invitee_id>""],""sessionAccess"":[{""sessionId"":""<session_id>"",""allowed"":true}]}"
"/api/v1/events/:eventId/assignments","POST","Assign a system user to an event/sessions","Bearer Token (ORGANIZER)","{""userId"":""<user_id>"",""sessionIds"":[""<session_id>""]}"
"/api/v1/events/:eventId/assignments","GET","List system user assignments for an event","Bearer Token (ORGANIZER)","{}"
"/api/v1/users/me/assignments","GET","Retrieve assignments for the logged-in system user","Bearer Token (SYSTEM_USER)","{}"
"/api/v1/assignments/:assignmentId","PATCH","Update a system user's session assignments","Bearer Token (ORGANIZER)","{""sessionIds"":[""<new_session_id>""]}"
"/api/v1/assignments/:assignmentId","DELETE","Remove a system user assignment","Bearer Token (ORGANIZER)","{}"
